,Stocks,Sector,Link
184,Hindustan Petroleum Corporation,Energy,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
186,Hindustan Zinc,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
187,Honeywell Automation India,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
191,IDBI Bank,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
192,IDFC First Bank,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
193,IPCA Laboratories,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
197,Indian Overseas Bank,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
199,Indian Railway Finance Corporation,Services,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
200,360 One Wam,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
205,APL Apollo Tubes,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
206,Aarti Drugs,Healthcare,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
207,Aarti Industries,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
208,Aavas Financiers,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
218,Aditya Birla Sun Life AMC,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
219,Aegis Logis,Energy,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
220,Aether Industries,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
221,Affle India,Technology,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
222,Aia Engineering,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
223,Ajanta Pharmaceuticals,Healthcare,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
224,Akzo Nobel India,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
225,Alembic Pharmaceuticals,Healthcare,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
227,Alkyl Amines Chemicals,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
228,Alok Industries,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
229,Amara Raja Energy & Mobility,Technology,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
230,Amber Enterprises India,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
232,Angel Broking,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
233,Anupam Rasayan India,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
234,Apar Industries,Technology,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
236,Apollo Tyres,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
237,Aptus Value Housing Finance India,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
238,Archean Chemical Industries,,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
239,Asahi India Glass,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
242,Aster DM Healthcare,Healthcare,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
244,Astrazeneca Pharma India,Healthcare,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
248,Avanti Feeds,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
251,BASF India,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
252,BHARAT DYNAMICS,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
254,Bajaj Electricals,Technology,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
258,Balaji Amines,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
260,Balrampur Chini Mills,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
264,Bank Of Maharashtra,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
270,Bharat Heavy Electricals,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
273,Bikaji Foods International,,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
275,Birla Corporation,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
276,Birlasoft,Technology,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
277,Blue Dart Express,Transportation,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
278,Blue Star,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
279,Bombay Burmah Trading Corporation,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
280,Borosil Renewables,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
282,Brigade Enterprises,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
285,CCL Products India,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
286,CE Info Systems,Technology,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
287,CEAT,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
288,CESC,Utilities,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
290,CIE Automotive India,Basic Materials,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
291,CRISIL,Services,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
292,CSB Bank,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
293,Campus Activewear,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
294,Canfin Homes,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
295,Caplin Point Laboratories,Healthcare,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
296,Capri Global Capital,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
297,Carborundum Universal,Capital Goods,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
