URL, Sector,Industry,Ticker,NSE_Ticker,BSE_Ticker,Company Name
https://www.screener.in/company/CHOLAHLDNG/, Pharmaceuticals ,Pharmaceuticals - Indian - Bulk Drugs & Formln ,CHOLAHLDNG,CHOLAHLDNG.NS,CHOLAHLDNG.BO,Cholamandalam Financial Holdings Limited
https://www.screener.in/company/CIPLA/, Mining & Mineral products ,Mining / Minerals / Metals ,CIPLA,CIPLA.NS,CIPLA.BO,Cipla Limited
https://www.screener.in/company/COALINDIA/, Aerospace & Defence ,Miscellaneous ,COALINDIA,COALINDIA.NS,COALINDIA.BO,Coal India Limited
https://www.screener.in/company/COCHINSHIP/, IT - Software ,Computers - Software - Medium / Small ,COCHINSHIP,COCHINSHIP.NS,COCHINSHIP.BO,Cochin Shipyard Limited
https://www.screener.in/company/COFORGE/, FMCG ,Personal Care - Multinational ,COFORGE,COFORGE.NS,COFORGE.BO,Coforge Limited
https://www.screener.in/company/COLPAL/, Logistics ,Miscellaneous ,COLPAL,COLPAL.NS,COLPAL.BO,Colgate-Palmolive (India) Limited
https://www.screener.in/company/CONCOR/, Finance ,Finance & Investments ,CONCOR,CONCOR.NS,CONCOR.BO,Container Corporation of India Limited
https://www.screener.in/company/CREDITACC/, Consumer Durables ,Electric Equipment ,CREDITACC,CREDITACC.NS,CREDITACC.BO,CreditAccess Grameen Limited
https://www.screener.in/company/CROMPTON/, Capital Goods-Non Electrical Equipment ,Engines ,CROMPTON,CROMPTON.NS,CROMPTON.BO,Crompton Greaves Consumer Electricals Limited
https://www.screener.in/company/CUMMINSIND/, IT - Software ,Computers - Software - Medium / Small ,CUMMINSIND,CUMMINSIND.NS,CUMMINSIND.BO,Cummins India Limited
https://www.screener.in/company/CYIENT/, FMCG ,Personal Care - Indian ,CYIENT,CYIENT.NS,CYIENT.BO,Cyient Limited
https://www.screener.in/company/DABUR/, Aerospace & Defence ,Electronics - Components ,DABUR,DABUR.NS,DABUR.BO,Dabur India Limited
https://www.screener.in/company/DATAPATTNS/, Logistics ,Miscellaneous ,DATAPATTNS,DATAPATTNS.NS,DATAPATTNS.BO, Data Patterns (India) Limited
https://www.screener.in/company/DELHIVERY/, Consumer Durables ,Electronics - Components ,DELHIVERY,DELHIVERY.NS,DELHIVERY.BO,Delhivery Limited
https://www.screener.in/company/DELTAMAGNT/, Quick Service Restaurant ,Hotels ,DELTAMAGNT,DELTAMAGNT.NS,DELTAMAGNT.BO,Delta Manufacturing Limited
https://www.screener.in/company/DEVYANI/, Pharmaceuticals ,Pharmaceuticals - Indian - Bulk Drugs ,DEVYANI,DEVYANI.NS,DEVYANI.BO,Devyani International Limited
https://www.screener.in/company/DIVISLAB/, Consumer Durables ,Electronics - Consumer ,DIVISLAB,DIVISLAB.NS,DIVISLAB.BO,Divi's Laboratories Limited
https://www.screener.in/company/DIXON/, Realty ,Construction ,DIXON,DIXON.NS,DIXON.BO,Dixon Technologies (India) Limited
https://www.screener.in/company/DLF/, Retail ,Trading ,DLF,DLF.NS,DLF.BO,DLF Limited
https://www.screener.in/company/DMART/, Pharmaceuticals ,Pharmaceuticals - Indian - Bulk Drugs & Formln ,DMART,DMART.NS,DMART.BO,Avenue Supermarts Limited
https://www.screener.in/company/DRREDDY/, Automobile ,Automobiles - Motorcycles / Mopeds ,DRREDDY,DRREDDY.NS,DRREDDY.BO,Dr. Reddy's Laboratories Limited 
https://www.screener.in/company/EICHERMOT/, Hotels & Restaurants ,Hotels ,EICHERMOT,EICHERMOT.NS,EICHERMOT.BO,Eicher Motors Limited
https://www.screener.in/company/EIHOTEL/, Capital Goods-Non Electrical Equipment ,Compressors / Drilling Equipment ,EIHOTEL,EIHOTEL.NS,EIHOTEL.BO,EIH Limited
https://www.screener.in/company/ELGIEQUIP/, FMCG ,Personal Care - Indian ,ELGIEQUIP,ELGIEQUIP.NS,ELGIEQUIP.BO,Elgi Equipments Limited
https://www.screener.in/company/EMAMILTD/, Automobile ,Automobiles - Tractors ,EMAMILTD,EMAMILTD.NS,EMAMILTD.BO,Emami Limited
